Jméno;Hokej.cz ID;Tym;Nazev tymu;Sezona;Pozice;Vìk;GP;P;OFF;OFF IMPACT;POINT PRODUCTION;SHOOTING;PASSING;PEN DRAWN;PP;TRA;SHOT CONTRI;HD CHANCES;HD ASSISTS;CARRIES;ENTRY PASSES;POSS EXITS;DEF;DEF IMPACT;DENIALS;RECOVERIES;ROLE DIFF;PEN TAKEN;PK;First;Second;Jmeno hrace;Akt
Ondøej Mikliš;14071;SPA;HC Sparta Praha;2023 / 2024;obránce;27;30;5;45;36;52;45;51;50;-;45;90;60;84;27;1;38;88;85;16;-;21;11;50;Ondøej;Mikliš;Miklis O.;17. 1. 2024
Ondøej Najman;17536;SPA;HC Sparta Praha;2023 / 2024;útoèník;25;32;10;49;60;39;34;51;6;3;50;65;44;97;39;7;59;75;72;45;32;66;63;4;Ondøej;Najman;Najman O.;17. 1. 2024
Ondøej Procházka;17217;KVA;HC Energie Karlovy Vary;2023 / 2024;útoèník;26;33;16;72;56;77;71;74;68;93;56;41;70;40;42;76;54;11;11;60;35;65;34;36;Ondøej;Procházka;Prochazka O.;17. 1. 2024
Ondøej Roman;8810;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;35;31;10;20;52;14;11;29;7;21;3;6;17;12;2;21;39;5;5;30;31;77;68;-;Ondøej;Roman;Roman O.;17. 1. 2024
Ondøej Slováèek;12827;KLA;Rytíøi Kladno;2023 / 2024;obránce;29;32;4;14;19;21;9;48;19;-;63;28;8;72;96;30;94;15;17;59;-;70;12;56;Ondøej;Slováèek;Slovacek O.;17. 1. 2024
Ondøej Vála;17809;PCE;HC Dynamo Pardubice;2023 / 2024;obránce;25;28;11;81;13;98;98;79;28;-;41;89;38;71;18;34;32;51;41;50;-;93;34;85;Ondøej;Vála;Vala O.;17. 1. 2024
Oscar Flynn;29091;LIB;Bílí Tygøi Liberec;2023 / 2024;útoèník;24;29;29;98;97;97;88;94;91;61;90;87;99;83;82;62;70;43;50;62;48;22;42;-;Oscar;Flynn;Flynn O.;17. 1. 2024
Patrik Demel;14369;LIT;HC VERVA Litvínov;2023 / 2024;obránce;27;32;6;20;12;40;35;28;24;-;70;12;91;15;85;80;69;64;66;33;-;51;21;71;Patrik;Demel;Demel P.;17. 1. 2024
Patrik Hrehorèák;32581;TRI;HC Oceláøi Tøinec;2023 / 2024;útoèník;24;34;10;30;8;53;21;63;67;-;59;57;20;53;66;84;34;98;95;78;81;70;66;64;Patrik;Hrehorèák;Hrehorcak P.;17. 1. 2024
Patrik Marcel;13639;MHK;Mountfield HK;2023 / 2024;obránce;29;30;0;3;8;1;22;1;25;-;5;5;11;36;9;1;5;11;10;58;-;29;1;-;Patrik;Marcel;Marcel P.;17. 1. 2024
Patrik Miškáø;15275;MHK;Mountfield HK;2023 / 2024;útoèník;27;28;14;48;74;36;6;62;3;74;71;62;63;70;34;72;42;44;40;48;86;72;47;66;Patrik;Miškáø;Miskar P.;17. 1. 2024
Patrik Poulíèek;15476;PCE;HC Dynamo Pardubice;2023 / 2024;útoèník;30;29;13;64;41;68;94;33;96;7;69;74;73;47;73;31;88;87;79;14;66;63;38;69;Patrik;Poulíèek;Poulicek P.;17. 1. 2024
Patrik Zdráhal;14150;VIT;HC Vítkovice RIDERA;2023 / 2024;útoèník;28;12;7;75;98;54;4;92;87;-;84;86;67;75;89;93;55;18;21;28;20;13;68;-;Patrik;Zdráhal;Zdrahal P.;17. 1. 2024
Pavel Kousal;18669;SPA;HC Sparta Praha;2023 / 2024;útoèník;24;33;22;62;66;59;54;44;87;71;91;93;98;95;72;60;79;48;44;37;33;41;55;-;Pavel;Kousal;Kousal P.;17. 1. 2024
Pavel Musil;12569;OLO;HC Olomouc;2023 / 2024;útoèník;30;25;2;10;50;2;1;6;12;44;67;68;46;68;69;58;67;81;82;15;73;57;35;-;Pavel;Musil;Musil P.;17. 1. 2024
Pavel Pıcha;14920;CEB;Banes Motor È. Budìjovice;2023 / 2024;obránce;27;32;12;36;32;50;75;27;18;83;16;25;32;14;45;30;58;75;72;34;-;92;63;46;Pavel;Pıcha;Pycha P.;17. 1. 2024
Pavol Skalickı;2491888;MBL;BK Mladá Boleslav;2023 / 2024;útoèník;28;34;12;32;82;12;12;10;21;88;32;24;45;38;53;37;42;97;96;21;55;21;81;73;Pavol;Skalickı;Skalicky P.;17. 1. 2024
Pawel Zygmunt;10096884;LIT;HC VERVA Litvínov;2023 / 2024;útoèník;23;19;1;2;3;8;36;1;35;-;31;31;21;4;93;24;63;67;71;73;79;77;31;29;Pawel;Zygmunt;Zygmunt P.;17. 1. 2024
