;Jmeno;Tym;image_path
117;Jiří Ondrušek;HC Olomouc;/mount/src/hokejove_karty/Karty/Jiri Ondrusek HC Olomouc.png
118;Jiří Ticháček;Rytíři Kladno;/mount/src/hokejove_karty/Karty/Jiri Tichacek Rytiri Kladno.png
119;Joachim Rohdin;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Joachim Rohdin BK Mlada Boleslav.png
120;Jonáš Peterek;HC Vítkovice RIDERA;/mount/src/hokejove_karty/Karty/Jonas Peterek HC Vitkovice RIDERA.png
121;Joona Huttula;HC Energie Karlovy Vary;/mount/src/hokejove_karty/Karty/Joona Huttula HC Energie Karlovy Vary.png
122;Jordann Perret;Mountfield HK;/mount/src/hokejove_karty/Karty/Jordann Perret Mountfield HK.png
123;Josef Jícha;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Josef Jicha HC VERVA Litvinov.png
124;Josef Koláček;Banes Motor Č. Budějovice;/mount/src/hokejove_karty/Karty/Josef Kolacek Banes Motor C. Budejovice.png
125;Josh Kestner;HC Sparta Praha;/mount/src/hokejove_karty/Karty/Josh Kestner HC Sparta Praha.png
126;Juhamatti Aaltonen;BK Mladá Boleslav;/mount/src/hokejove_karty/Karty/Juhamatti Aaltonen BK Mlada Boleslav.png
127;Juraj Mikuš;HC Vítkovice RIDERA;/mount/src/hokejove_karty/Karty/Juraj Mikus HC Vitkovice RIDERA.png
128;Karel Plášek;HC Olomouc;/mount/src/hokejove_karty/Karty/Karel Plasek HC Olomouc.png
129;Kelly Klíma;Bílí Tygři Liberec;/mount/src/hokejove_karty/Karty/Kelly Klima Bili Tygri Liberec.png
130;Kevin Czuczman;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Kevin Czuczman HC VERVA Litvinov.png
131;Kristaps Zile;HC VERVA Litvínov;/mount/src/hokejove_karty/Karty/Kristaps Zile HC VERVA Litvinov.png
132;Kristián Pospíšil;HC Kometa Brno;/mount/src/hokejove_karty/Karty/Kristian Pospisil HC Kometa Brno.png
